Country,City,Latitude,Longitude,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01
Germany,Remich,49.544328,6.362301,33,9,3,1,1,4,0,0,1,17,21,18,2,4,7,1,2,8,0,1,8,31,36,57,65,29,5,1,2,3,6,14,7,11,11,3,2
Italy,Tarvisio,46.505239,13.598429,2732,1846,2904,2741,2997,2484,2643,2082,2513,1684,2634,2125,1839,1743,3006,2714,2341,2538,2247,2424,2291,2291,1824,2698,3005,1450,2321,2575,2857,2178,2388,2281,2228,2260,2157,2884,1694
Italy,Gorizia,45.873406,13.50076,0,0,0,0,0,1,0,0,5,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,5,0,3,0,1,5,4,2,19,11
Italy,Griespass,46.453772,8.373976,663,743,907,1307,1140,1330,907,948,605,1184,468,497,1137,949,941,1212,1379,975,943,557,413,63,11,89,293,259,44,482,110,44,32,81,170,258,192,724,910
Italy,Bizzarone,45.834255,8.948803,19,15,12,10,7,3,12,3,4,8,14,17,19,14,14,8,5,4,3,3,5,10,14,19,21,15,14,11,7,4,4,3,5,10,10,20,19
Italy,Mazara del Vallo,0,0,1732,1146,490,726,833,714,490,667,741,637,645,1153,1306,709,229,487,526,599,896,1081,1062,1474,1601,2055,1849,1864,2092,1871,1876,1629,1634,1336,1147,2007,1922,1943,1918
Netherlands,Oude Statenzijl,53.2019,7.205,1910,989,1366,1167,1136,1252,783,1189,1337,1635,1743,1741,1379,1392,1152,1300,1066,1059,853,878,1074,1470,1685,1533,1199,936,809,730,761,828,688,776,955,865,1132,739,470
Netherlands,Winterswijk,51.971864,6.716599,887,679,656,535,476,259,66,231,427,438,719,659,731,574,601,194,513,408,395,178,428,434,436,521,563,616,571,468,454,312,440,466,427,435,492,484,513
Netherlands,Zevenaar,51.934033,6.06872,966,755,753,474,426,274,421,199,216,528,672,843,852,712,755,616,170,112,118,226,129,474,632,755,856,772,754,628,387,226,41,71,42,281,515,578,616
Netherlands,Tegelen,51.341771,6.140978,0,0,0,0,0,0,0,0,1,0,3,4,4,4,3,0,3,1,0,0,0,0,3,4,5,3,0,0,0,0,0,0,0,1,4,4,5
Netherlands,Hilvarenbeek,51.446385,5.042085,0,0,0,0,0,0,0,0,593,736,1016,1161,707,815,912,822,759,557,467,211,530,801,797,913,1112,648,979,896,846,302,510,504,434,728,631,1077,577
Poland,Lasow,51.2286,15.0308,43,40,45,60,45,46,31,28,21,0,3,7,1,1,90,72,127,117,119,95,10,22,11,20,69,98,23,61,12,12,30,31,40,38,84,65,0
Poland,Kondratki,52.7796,18.9592,3014,2724,3011,2539,3015,2667,2615,2041,2880,3020,3385,3516,2710,2679,2892,2760,2510,3100,2529,3387,3251,3360,3321,3420,3452,3205,3398,3192,3419,3226,3025,2215,2779,1298,1290,1201,582
Poland,Wysokoje,52.287,23.165,198,182,201,234,299,207,298,291,221,296,290,296,193,193,223,205,238,131,304,271,206,299,289,298,372,262,294,289,304,288,293,307,246,301,282,415,167
Poland,Drozdowicze,49.5387,22.5951,296,281,311,293,372,290,407,300,300,308,413,335,215,138,183,176,163,376,249,231,150,282,306,326,384,288,318,329,338,326,329,304,307,386,368,374,101
Poland,Hermanowice,49.7231,22.8149,40,90,153,156,130,126,131,131,148,194,81,81,14,29,30,115,126,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,Gubin,51.949,14.7285,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1
Slovak Republic,Velke Kapusany,0,0,4553,3822,4805,5260,5356,4616,5076,3513,4136,4567,5333,5027,1372,2565,3245,3089,3225,3227,3169,2026,1757,3773,3608,3792,2193,1552,2248,2319,2477,2397,2471,2458,1955,2269,2556,2596,1036
Spain,Irun (Biriatou),43.339081,-1.793698,2,0,0,24,2,0,2,0,0,0,131,240,93,3,14,0,0,0,0,0,0,188,15,0,0,146,92,22,94,53,3,6,5,16,2,4,33
Spain,Larrau,43.005832,-0.951661,533,482,529,352,340,272,328,387,0,439,131,186,186,270,167,188,118,220,309,362,190,122,134,376,504,144,142,113,114,81,126,140,154,201,364,290,92
Ukraine,Unspecified Crossings From Russia,0,0,7482,6115,7046,8100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Easington (from Norway),0,0,2278,1962,1728,1166,822,1716,1142,1716,162,1112,1937,2000,1676,0,2109,486,564,503,891,841,1008,2198,2141,2301,2316,2000,2066,2054,1844,998,1432,0,1241,2148,2180,2293,2070
United Kingdom,St Fergus (from Alvheim and Edvard Greig Norway),0,0,156,118,143,136,128,133,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,St Fergus (from Statfjord Norway),0,0,702,525,660,666,648,571,611,571,523,541,285,528,585,540,610,575,352,546,549,254,540,498,552,572,626,478,558,243,313,497,533,518,502,449,491,566,548
United Kingdom,St Fergus (from Vesterled Norway),0,0,794,355,210,108,72,143,60,143,108,118,434,248,128,181,153,26,16,109,117,56,48,113,229,728,940,305,138,173,206,6,106,62,100,211,351,446,134
