country,x19jan,x19feb,x19mar,x19apr,x19may,x19jun,x19jul,x19aug,x19sep,x19oct,x19nov,x19dec,Total 2019,x20jan,x20feb,x20mar,x20apr,x20may,x20jun,x20jul,x20aug,x20sep,x20oct,x20nov,x20dec,Total 2020,x21jan,x21feb,x21mar,x21apr,x21may,x21jun,x21jul,x21aug,x21sep,x21oct,x21nov,x21dec,Total 2021,x22jan,x22feb,Total 2022,,Total 2019,Total 2020,Total 2021,Total 2022
Isle of Man,15,13,14,7,8,11,0,11,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79,0,0,0
Italy,6464,5064,6192,6447,6620,6290,5931,5416,5407,5139,5225,5264,69459,5596,4767,5566,6091,5693,5766,5804,5081,5271,5129,4748,5796,65308,6071,4862,5772,6989,6599,5557,5804,5024,5132,5408,5607,6720,69545,6164,5300,11464,,69459,65308,69545,11464
Latvia,-12,-19,-93,-4,262,354,408,399,381,158,5,-36,1803,-215,-125,23,70,276,291,360,325,316,69,-51,-50,1289,-181,-250,-154,27,362,314,374,260,95,46,-126,-45,722,-300,-85,-385,,1803,1289,722,-385
Libya,-425,-394,-479,-497,-552,-467,-479,-524,-444,-506,-489,-460,-5716,-373,-337,-390,-540,-397,-326,-398,-251,-384,-434,-358,-271,-4459,-276,-289,-325,-242,-323,-188,-283,-290,-234,-282,-291,-208,-3231,-227,-111,-338,,-5716,-4459,-3231,-338
Liquefied Natural Gas,-8819,-7211,-9370,-9406,-8609,-7515,-5817,-6378,-4765,-6073,-8322,-8004,-90289,-8212,-8372,-8720,-7519,-8224,-6117,-5602,-4791,-5176,-5252,-5651,-5522,-79158,-5119,-5562,-7901,-7608,-6225,-5360,-5340,-4818,-4997,-6586,-7875,-8407,-75798,-11155,-9666,-20821,,-90289,-79158,-75798,-20821
Lithuania,283,217,219,165,162,139,128,99,160,195,208,229,2204,227,213,191,183,173,182,187,147,141,189,234,280,2347,289,278,250,213,181,168,118,109,135,143,157,232,2273,189,158,347,,2204,2347,2273,347
Luxembourg,108,85,82,63,56,41,39,34,44,61,83,84,780,94,82,75,47,45,37,34,30,40,62,75,83,704,101,82,82,68,57,35,36,32,39,60,81,82,755,95,75,170,,780,704,755,170
"Macedonia, Former Yugoslav Republic",42,26,11,7,4,26,36,173,35,20,20,32,432,40,25,40,5,4,18,35,36,36,22,44,45,350,47,41,45,11,10,17,35,36,36,45,47,50,420,37,39,76,,432,350,420,76
Moldova,166,152,146,149,159,158,209,323,378,378,300,276,2794,225,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,6,0,0,0,0,0,2,0,0,8,0,0,0,,2794,225,8,0
Morocco,-749,-451,-225,-290,-344,-246,-749,-252,-318,-564,-639,-712,-5539,-221,-164,-120,-122,-119,-112,-241,-213,-484,-645,-630,-555,-3626,-539,-608,-684,-627,-681,-649,-547,-516,-624,-384,0,0,-5859,0,0,0,,-5539,-3626,-5859,0
Netherlands,-1033,-1147,-879,-445,-256,570,-168,64,-284,-902,-1588,-4485,-10553,-1811,-1544,-1594,-666,-581,-98,-602,-595,-90,-692,-672,-1306,-10251,-2741,-1840,-2110,-3637,-1059,3,-183,-253,-145,-1339,-1104,-2536,-16944,-1791,-1427,-3218,,-10553,-10251,-16944,-3218
Norway,-9258,-8502,-8895,-7815,-7854,-7851,-7531,-8625,-4305,-7372,-8448,-9171,-95627,-9305,-3874,-9420,-7688,-6671,-6520,-7520,-6655,-6047,-6954,-7842,-8638,-87134,-7988,-7381,-8166,-7847,-7363,-6016,-7489,-2201,-6592,-8541,-8695,-9620,-87899,-9414,-8697,-18111,,-95627,-87134,-87899,-18111
Not Elsewhere Specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Poland,1575,1292,1348,1350,1518,1187,1290,617,1244,1215,1986,2102,16724,1349,1515,2156,1801,1921,1812,1898,1878,1468,1775,1954,1932,21459,2111,2272,1988,2148,1986,1815,1899,1768,1632,1712,2009,2194,23534,1733,1757,3490,,16724,21459,23534,3490
Portugal,455,401,348,410,517,497,530,580,539,566,502,428,5773,485,455,500,331,351,434,557,568,555,516,485,378,5615,488,404,411,449,472,534,468,417,446,514,493,460,5556,475,402,877,,5773,5615,5556,877
Romania,413,285,180,127,117,144,181,236,248,60,-428,-67,1496,313,265,200,155,148,165,143,136,75,12,155,225,1992,249,281,295,155,180,144,217,270,195,275,243,342,2846,374,118,492,,1496,1992,2846,492
Russia,-13918,-11719,-13139,-14107,-5831,-5999,-4187,-6390,-5860,-5101,-5442,-6514,-98207,-7119,-5736,-5483,-5441,-5593,-5238,-4119,-6573,-6921,-7181,-7284,-7986,-74674,-7709,-7023,-7601,-5510,-7129,-7452,-5960,-7336,-6931,-6795,-6299,-7106,-82851,-7104,-6704,-13808,,-98207,-74674,-82851,-13808
Serbia,0,289,209,117,123,286,0,130,166,222,286,313,2141,304,269,0,0,0,0,0,0,0,0,0,0,573,248,238,245,192,171,138,161,111,186,400,249,406,2745,446,342,788,,2141,573,2745,788
Slovak Republic,58,222,492,790,1078,859,708,363,271,493,438,542,6314,51,235,338,422,574,409,558,328,462,351,341,251,4320,-320,-143,486,415,564,664,494,451,399,402,320,-6,3726,225,289,514,,6314,4320,3726,514
Slovenia,119,95,90,102,67,48,49,55,56,71,83,98,933,117,91,91,64,53,45,52,49,56,75,100,104,897,112,97,99,99,79,74,62,56,52,79,95,111,1015,115,93,208,,933,897,1015,208
Spain,3426,2841,2676,2704,2782,2885,3125,3071,2661,3164,3094,2750,35179,3154,2707,2520,2135,2029,2302,2921,2662,2584,2073,2649,2712,30448,3072,2074,2524,2642,2332,2402,2475,2355,2608,2828,3233,3045,31590,3442,2882,6324,,35179,30448,31590,6324
Sweden,105,84,85,63,61,47,43,43,46,62,74,81,794,72,68,66,48,51,49,53,55,60,70,74,84,750,111,105,72,61,53,46,43,50,43,59,67,106,816,77,61,138,,794,750,816,138
Switzerland,532,412,350,255,235,96,570,92,125,239,391,450,3747,488,367,354,180,150,118,84,99,154,302,390,484,3170,543,424,397,307,252,116,109,120,147,302,409,488,3614,509,397,906,,3747,3170,3614,906
Tunisia,261,254,259,252,226,275,-490,-667,-741,-637,-645,-1153,-2806,-1306,-709,-229,-487,-526,-599,-896,-1081,-1062,-1474,-1601,-2055,-12025,-1849,-1864,-2092,-1871,-1876,-1629,-1634,-1336,-1147,-2007,-1922,-1943,-21170,-1918,-1782,-3700,,-2806,-12025,-21170,-3700
Turkey,5667,4249,4294,3464,2579,2593,3190,2718,2990,3086,3862,5313,44005,5401,4867,3476,2304,2239,1598,2534,2784,3145,3565,4462,5530,41905,4743,4769,4363,3157,2024,2504,2034,2224,2640,2564,3163,3966,38151,4836,4371,9207,,44005,41905,38151,9207
Ukraine,1139,814,766,955,-6691,-5178,-5069,-4416,-4876,-5074,-6251,-7166,-41047,-1918,-2596,-2532,-2705,-2840,-2442,-2178,-1038,-1863,-3838,-3836,-4226,-32012,-2693,-1965,-2650,-2648,-2815,-2730,-2763,-2729,-2229,-2541,-2924,-2970,-31657,-1377,-1323,-2700,,-41047,-32012,-31657,-2700
United Kingdom,5399,3871,4077,3529,2379,1911,1046,2030,-11,1552,2404,2470,30657,2070,443,2447,327,-406,117,809,765,1192,2573,2655,3438,16430,4725,2780,2630,2176,2151,1251,1710,318,1287,1646,2453,2701,25828,2146,1742,3888,,30657,16430,25828,3888
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98207,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94739,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-65,000",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-35,000",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5,000",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,000",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,000",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,000",
